video,vehicle,illegal_parking,pedicted,eval,,,
f1,0,1,1,tp,,tp,14
f1,1,0,0,tn,,fp,2
f1,2,0,0,tn,,tn,10
f1,3,0,0,tn,,fn,5
f1,4,0,0,tn,,,
f2,0,1,1,tp,,accuracy,0.77
f3,0,1,0,fn,,precission,0.88
f3,1,1,1,tp,,recall,0.74
f3,2,1,0,fn,,f1,0.80
f3,18,1,1,tp,,,
f3,4,1,1,tp,,,
f3,5,1,1,tp,,,
f3,6,1,1,tp,,,
f3,7,1,1,tp,,,
f3,8,1,1,tp,,,
f3,10,1,1,tp,,,
f3,11,0,0,tn,,,
f3,13,1,1,tp,,,
f3,14,1,1,tp,,,
f3,16,0,0,tn,,,
f3,29,0,0,tn,,,
f3,100,1,0,fn,,,
f3,101,1,0,fn,,,
f3,102,1,0,fn,,,
f4,0,0,1,fp,,,
f4,1,0,0,tn,,,
f4,2,0,0,tn,,,
f5,0,1,1,tp,,,
f5,1,1,1,tp,,,
f5,2,0,0,tn,,,
f5,3,0,1,fp,,,
